id,date_update,unknown,from0to14,from15to19,from20to24,from25to29,from30to34,from35to39,from40to44,from45to49,from50
1,20200817,9.1,0.2,0.5,48.9,0,35.3,0.1,5.7,0.1,0
4,20200818,0,0,0,0,0,0,0,0,0,0
